FanDuel,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
7.168899059,PF,Nick,Collison,7.8,29,3500,OKC@CHA,OKC,CHA,,
6.856043816,SF,Vince,Carter,8.4,17,3500,MEM@UTA,MEM,UTA,,
7.397461414,PG,Phil (Flip),Pressey,11.2,14,3500,PHI@LAC,PHI,LAC,,
3.6161623,SF,Chris,Copeland,3.5,18,3500,MIL@MIN,MIL,MIN,,
2.828809977,SF,Justin,Anderson,3.6,19,3500,NO@DAL,DAL,NO,,
6.121993065,PF,Jarell,Martin,1,2,3500,MEM@UTA,MEM,UTA,,
8.956428528,PG,Brian,Roberts,5.3,14,3500,OKC@CHA,CHA,OKC,,
6.524169922,PG,Andre,Miller,9.5,15,3500,MIL@MIN,MIN,MIL,,
3.673038006,SF,Damien,Inglis,2.9,7,3500,MIL@MIN,MIL,MIN,O,Ankle
6.629099846,PG,Kendall,Marshall,10.1,8,3500,PHI@LAC,PHI,LAC,,
7.344437599,PF,James Michael,McAdoo,5,25,3500,DEN@GS,GS,DEN,,
10.49144554,PF,Jason,Smith,10.4,27,3500,ORL@CLE,ORL,CLE,,
1.893877387,SF,Reggie,Bullock,1.1,16,3500,DET@IND,DET,IND,,
7.405200481,SF,Kyle,Anderson,8.5,32,3500,HOU@SA,SA,HOU,,
11.36411667,PF,Marreese,Speights,9.2,26,3500,DEN@GS,GS,DEN,,
2.835690022,PF,Christian,Wood,8,14,3500,PHI@LAC,PHI,LAC,,
11.472229,SF,P.J.,Hairston,10.5,28,3500,OKC@CHA,CHA,OKC,,
6.016656399,SG,Jordan,Adams,9,2,3500,MEM@UTA,MEM,UTA,O,Knee
8.151771545,PG,Pablo,Prigioni,7.7,14,3500,PHI@LAC,LAC,PHI,,
9.123985291,SG,Leandro,Barbosa,11.1,25,3500,DEN@GS,GS,DEN,GTD,Shoulder
12.78149414,C,Timofey,Mozgov,13.4,27,3500,ORL@CLE,CLE,ORL,,
4.606410503,PG,Tyler,Ennis,6.7,14,3500,MIL@MIN,MIL,MIN,,
4.996076584,SF,Sam,Dekker,1.1,3,3500,HOU@SA,HOU,SA,O,Back
9.238092422,C,Omer,Asik,9.1,25,3500,NO@DAL,NO,DAL,,
11.59899807,PG,Raul,Neto,11,30,3500,MEM@UTA,UTA,MEM,,
3.303828001,C,Sasha,Kaun,3,8,3500,ORL@CLE,CLE,ORL,,
12.42667961,PF,Andrew,Nicholson,13.6,23,3500,ORL@CLE,ORL,CLE,,
6.830775738,PF,Jason,Thompson,5.5,16,3500,DEN@GS,GS,DEN,,
6.761679649,C,Matt,Bonner,4.5,13,3500,HOU@SA,SA,HOU,,
8.967760086,SF,Richard,Jefferson,11,29,3500,ORL@CLE,CLE,ORL,,
