PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN14,FGM14,FGA14,FG_PCT14,FG3M14,FG3A14,FG3_PCT14,FTM14,FTA14,FT_PCT14,OREB14,DREB14,REB14,AST14,TOV14,STL14,BLK14,BLKA14,PF14,PFD14,PTS14,PLUS_MINUS14,DD2,TD3,CFID,CFPARAMS
203949,James Michael McAdoo,1610612744,GSW,22,15,11,4,0.733,9.1,1.6,2.9,0.545,0,0,0,0.9,1.7,0.56,1,1.5,2.5,0.1,0.4,0.3,0.6,0.2,1.4,1.3,4.1,0.7,0,0,5,"2,039,491,610,612,740"
203950,Jarnell Stokes,1610612763,MEM,21,19,12,7,0.632,6.6,1.1,1.9,0.568,0,0,0,0.8,1.5,0.536,0.8,0.9,1.8,0.2,0.4,0.3,0.3,0.3,1.3,1.2,3,0.7,0,0,5,"2,039,501,610,612,760"
203952,Andrew Wiggins,1610612750,MIN,20,82,16,66,0.195,36.2,6.1,13.9,0.437,0.5,1.5,0.31,4.3,5.7,0.76,1.6,2.9,4.6,2.1,2.2,1,0.6,0.8,2.3,4.6,16.9,-6.7,2,0,5,"2,039,521,610,612,750"
203953,Jabari Parker,1610612749,MIL,20,25,13,12,0.52,29.5,5.2,10.5,0.49,0.2,0.6,0.25,1.8,2.6,0.697,2,3.5,5.5,1.7,1.9,1.2,0.2,0.8,1.7,2.4,12.3,-4.7,2,0,5,"2,039,531,610,612,740"
203955,Bryce Cotton,1610612762,UTA,22,15,9,6,0.6,10.6,1.9,4.6,0.42,0.5,1.3,0.35,1,1.2,0.833,0.2,1,1.2,1,0.8,0.3,0,0.3,0.4,1,5.3,0.1,0,0,5,"2,039,551,610,612,760"
203956,Mitch McGary,1610612760,OKC,23,32,20,12,0.625,15.2,2.8,5.2,0.533,0,0.1,0,0.8,1.3,0.625,1.7,3.5,5.2,0.4,1,0.5,0.5,0.4,2.3,0.9,6.3,1.5,3,0,5,"2,039,561,610,612,760"
203957,Dante Exum,1610612762,UTA,19,82,38,44,0.463,22.2,1.8,5.1,0.349,1,3.2,0.314,0.2,0.4,0.625,0.3,1.3,1.6,2.4,1.4,0.5,0.2,0,1.8,0.8,4.8,1.1,0,0,5,"2,039,571,610,612,760"
203958,Andre Dawkins,1610612748,MIA,23,4,2,2,0.5,5.4,0.3,1.5,0.167,0.3,1.5,0.167,0,0,0,0,0.5,0.5,0.3,0.3,0,0,0,0.8,0,0.8,-1,0,0,5,"2,039,581,610,612,740"
203960,JaKarr Sampson,1610612755,PHI,22,74,17,57,0.23,15.3,2,4.7,0.422,0.4,1.7,0.244,0.9,1.3,0.67,0.5,1.7,2.2,1,1,0.5,0.4,0.4,1.8,1.1,5.2,-4.5,0,0,5,"2,039,601,610,612,750"
203961,Eric Moreland,1610612758,SAC,23,3,0,3,0,0.7,0.3,0.3,1,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0,0,0.3,0,0.7,0.3,0,0,5,"2,039,611,610,612,750"
203963,Shayne Whittington,1610612754,IND,24,20,9,11,0.45,5.4,1,2.1,0.452,0.1,0.3,0.167,0.9,1.2,0.783,0.5,1,1.5,0.3,0.3,0.3,0.1,0.4,0.9,0.8,2.9,0.8,0,0,5,"2,039,631,610,612,750"
203968,Jerrelle Benimon,1610612762,UTA,23,2,2,0,1,1.4,0,0,0,0,0,0,0,0,0,0.5,1,1.5,0,0.5,0,0,0,0,0,0,3,0,0,5,"2,039,681,610,612,760"
203991,Clint Capela,1610612745,HOU,21,12,8,4,0.667,7.5,1.2,2.4,0.483,0,0,0,0.3,1.9,0.174,0.8,2.2,3,0.2,0.4,0.1,0.8,0.3,1.2,1.1,2.7,0.7,0,0,5,"2,039,911,610,612,740"
203994,Jusuf Nurkic,1610612743,DEN,20,62,21,41,0.339,17.8,2.8,6.2,0.446,0,0,0,1.4,2.1,0.636,2,4.1,6.2,0.8,1.4,0.8,1.1,0.6,3.3,1.9,6.9,-0.1,4,0,5,"2,039,941,610,612,740"
203998,Bruno Caboclo,1610612761,TOR,19,8,7,1,0.875,2.9,0.5,1.5,0.333,0.3,0.4,0.667,0,0,0,0.1,0.1,0.3,0,0.5,0,0.1,0,0.4,0,1.3,-3.4,0,0,5,"2,039,981,610,612,760"
204014,Damjan Rudez,1610612754,IND,29,68,28,40,0.412,15.4,1.8,3.9,0.452,1,2.5,0.406,0.2,0.3,0.696,0.1,0.6,0.7,0.8,0.7,0.2,0.1,0.1,1.2,0.4,4.8,0.5,0,0,5,"2,040,141,610,612,750"
204020,Tyler Johnson,1610612748,MIA,23,32,15,17,0.469,18.8,2.2,5.2,0.419,0.6,1.5,0.375,1,1.5,0.681,0.4,2.1,2.5,1.3,0.9,1,0.3,0.3,1.3,1.2,5.9,-2,1,0,5,"2,040,201,610,612,740"
204021,Sim Bhullar,1610612758,SAC,22,3,1,2,0.333,0.9,0.3,0.7,0.5,0,0,0,0,0,0,0,0.3,0.3,0.3,0,0,0.3,0,0,0,0.7,0.3,0,0,5,"2,040,211,610,612,750"
204022,Jack Cooley,1610612762,UTA,24,16,10,6,0.625,5.4,0.6,1.4,0.409,0,0,0,0.6,1.3,0.429,0.6,0.9,1.6,0.1,0.2,0.4,0.2,0.1,1.4,1.1,1.7,-0.3,0,0,5,"2,040,221,610,612,760"
